Disease_ID,Disease,Disease_Type,Causative_Agent,Main_Animals_Affected,Transmission_or_Risk_Factors,Key_Properties_and_Signs,Treatment_or_Control,Prevention_Methods,Zoonotic_Risk,SADC_2011_Outbreaks,SADC_2011_Cases,SADC_2011_Deaths,SADC_2011_Destroyed,SADC_2011_Slaughtered,SADC_Yearbook_Source,Reference_and_Data_Notes,Botswana_Wildlife_Context_Species,Wildlife_Population_Context,Wildlife_Digest_2014_Source_and_Limitation
47,Highly pathogenic avian influenza,Viral,High-pathogenicity avian influenza A viruses,Domestic poultry and wild birds; some strains can infect mammals and humans,Respiratory secretions and faeces; bird movement; contaminated equipment; contact with wild birds,Sudden high mortality; respiratory and nervous signs; cyanosis; oedema; sharp egg drop,"No flock-level cure; report immediately and follow official depopulation, movement and outbreak-control measures",High biosecurity; separate poultry from wild birds; surveillance; cleaning; movement control; vaccination only under official policy,"Yes, strain-dependent",47,20218,208,18385,,"Annex p.58; Section 5.6, pp.22-23","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
48,Horse mange,Parasitic; mite infestation,"Sarcoptes, Psoroptes or Chorioptes mites",Horses and other equids,"Direct contact and contaminated tack, brushes, blankets or housing",Severe itching; rubbing; crusting; hair loss; thickened skin,Veterinary-approved acaricide treatment of affected and contact animals; clean the environment and equipment,Quarantine new horses; do not share grooming equipment; routine skin inspection and stable hygiene,Some mites can cause temporary dermatitis in humans,4,7,3,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
49,Infectious bovine rhinotracheitis,Viral,Bovine herpesvirus 1,Cattle,Respiratory and genital secretions; semen; direct contact; latent carriers reactivate under stress,Fever; red inflamed nose; nasal discharge; cough; conjunctivitis; abortion; genital lesions,No specific cure; isolate and provide supportive care; treat confirmed secondary bacterial infection,Vaccination; test and manage carrier cattle; certified semen; quarantine introductions; reduce stress and crowding,No,3,18,,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
50,Infectious bursal disease,Viral,"Infectious bursal disease virus, a birnavirus",Young chickens,Faecal-oral spread; highly persistent virus in poultry houses and equipment,Depression; watery diarrhoea; vent picking; bursal damage; immunosuppression; mortality,"No specific antiviral cure; fluids, warmth and supportive flock management",Vaccination matched to maternal antibodies and local strains; all-in/all-out production; thorough cleaning and downtime,No,73,6219,3296,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
51,Infectious coryza,Bacterial,Avibacterium paragallinarum,Chickens,Respiratory droplets and direct contact; carrier birds introduce infection,Facial swelling; nasal discharge; sneezing; reduced feed intake and egg production,Veterinary antimicrobials may improve signs but do not reliably eliminate carriers,Vaccination in endemic farms; all-in/all-out management; quarantine replacements; good ventilation and biosecurity,No,128,2760,552,,38,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
52,Listeriosis,Bacterial,Listeria monocytogenes,Ruminants and many other animals; humans,"Poor-quality or spoiled silage; contaminated soil, feed and environments; reproductive fluids",Circling and one-sided facial paralysis; septicaemia; abortion; mastitis,Early high-dose veterinary antibiotics and supportive care; neurological cases need urgent treatment,Make and store silage correctly; discard spoiled feed; clean feed bunks; isolate abortion cases and use PPE,Yes,1,1,,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
53,Lumpy skin disease,Viral; vector-associated,"Lumpy skin disease virus, a Capripoxvirus",Cattle and some wild bovids,Biting insects and ticks; direct contact and contaminated equipment can contribute,Fever; firm skin nodules; enlarged lymph nodes; limb oedema; reduced milk; infertility and hide damage,"No specific antiviral cure; supportive care, wound management and treatment of secondary infection",Vaccination with authorised capripox vaccines; vector control; movement restrictions; rapid reporting and biosecurity,No,948,15717,376,1,67,"Annex p.59; Section 5.7, pp.23-25","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Giraffe,"Buffalo: 61,105 (2012 countrywide estimate); Giraffe: 8,976 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
54,Malignant catarrhal fever,Viral,"Gammaherpesviruses, especially ovine herpesvirus 2 or alcelaphine herpesvirus 1",Cattle and susceptible wild ruminants; sheep or wildebeest are reservoirs,"Exposure to shedding reservoir species, especially around lambing or wildebeest calving",High fever; eye opacity; profuse nasal discharge; mouth erosions; diarrhoea; nervous signs; usually fatal,No effective specific cure; supportive care is rarely successful,Separate susceptible cattle from reservoir species during high-risk periods; avoid shared birthing areas and close confinement,No,23,46,32,6,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Wildebeest,"Wildebeest: 53,159 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
55,Marek's disease,Viral; neoplastic,Gallid alphaherpesvirus 2,Chickens,Inhalation of infectious feather dander; virus persists in poultry-house dust,Paralysis; weight loss; unequal pupils; tumours in nerves and organs; immunosuppression,No treatment for clinically affected birds,Vaccinate chicks in ovo or at hatch before exposure; good hatchery practice; reduce contaminated dust and maintain biosecurity,No,4,16,3,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
56,Mastitis,Multifactorial; commonly bacterial,"Common agents include Staphylococcus, Streptococcus, coliforms and Mycoplasma species","Lactating cattle, sheep and goats","Pathogens enter through the teat canal; milking spread, dirty bedding, teat injury and poor machine function increase risk",Hot painful udder; abnormal milk; reduced yield; fever or shock in severe cases; subclinical high cell counts,Culture-guided intramammary or systemic veterinary treatment when indicated; frequent milking and supportive care for severe cases,Milking hygiene and teat dipping; clean dry bedding; maintain equipment; dry-period plans; segregate or cull chronic contagious cases,Some milk-borne pathogens are zoonotic if milk is unpasteurised,178,268,8,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. Mastitis is a syndrome with multiple possible causes rather than one single disease agent.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
57,Mucosal disease,Viral,Bovine viral diarrhoea virus in persistently infected cattle,Cattle,Persistently infected animals continuously shed virus; mucosal disease follows viral mutation or superinfection,Severe erosions in mouth and gut; profuse diarrhoea; dehydration; wasting; usually fatal,No cure; affected persistently infected cattle are generally euthanised or culled,Identify and remove persistently infected cattle; test replacements; biosecurity; vaccination according to herd plan,No,7,57,,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
58,Newcastle disease,Viral,Avian orthoavulavirus 1,Poultry and many wild bird species,"Respiratory secretions, faeces, direct contact, contaminated feed, equipment and people",Respiratory distress; green diarrhoea; twisting neck or paralysis; egg drop; sudden high mortality,No specific antiviral cure; report virulent disease and apply official control; supportive care only for mild strains where permitted,Vaccination; strict farm biosecurity; quarantine new birds; clean equipment; control bird and people movement,Rare conjunctivitis in exposed people,205,374183,262921,69305,38360,"Annex p.59; Section 5.8, pp.25-27","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
59,Old World screwworm,Parasitic; fly myiasis,Chrysomya bezziana larvae,"Livestock, wildlife, companion animals and humans",Adult flies lay eggs in wounds or body openings; larvae invade living tissue,Painful foul-smelling wound; visible larvae; tissue destruction; weakness and secondary infection,Remove larvae completely; debride and clean wounds; approved insecticide; veterinary antibiotics for secondary infection,Inspect animals; promptly treat wounds and navel sites; fly control; quarantine and report new-area detections,Yes,91,279,4,51,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
60,Other clostridial infections,Bacterial toxin; clostridial,Clostridium species other than separately listed syndromes,Livestock and other animals,Environmental spores enter wounds or proliferate in tissues or the gut; risk varies by syndrome,Rapid toxemia; muscle swelling; neurological signs; diarrhoea or sudden death depending on the organism,"Urgent syndrome-specific antitoxin, veterinary antibiotics, surgery and supportive care where indicated",Appropriate multivalent vaccination; hygienic procedures; prompt wound care; safe feeding and carcass disposal,Varies by species; generally low,3,3,1,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. The annex category is non-specific; diagnosis is required before treatment.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
61,Other pasteurellosis,Bacterial syndrome,"Pasteurella, Mannheimia or related bacteria","Cattle, sheep, goats, pigs, poultry and other animals","Opportunistic respiratory spread; crowding, transport, weather stress and viral infection increase risk",Pneumonia; fever; nasal discharge; breathing difficulty; septicaemia in acute cases,Early susceptibility-guided veterinary antibiotics and supportive care,Vaccination where a relevant product exists; ventilation; reduce stress and crowding; quarantine sick animals,Varies by species; generally low,5,14,8,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. The annex category is non-specific and may include several bacteria and animal species.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
62,Ovine epididymitis,Bacterial,Brucella ovis,"Sheep, especially breeding rams",Venereal and close-contact transmission among rams; infected semen,Epididymal enlargement; poor semen quality; infertility; occasional abortion in ewes,No consistently reliable flock cure; infected breeding rams are usually culled,Test rams before breeding; maintain closed flocks; separate young and adult rams; vaccination where officially used,Not considered an important human pathogen,83,575,46,266,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
63,Paratuberculosis,Bacterial,Mycobacterium avium subsp. paratuberculosis,"Cattle, sheep, goats and other ruminants","Young animals ingest organisms in contaminated manure, milk, colostrum, feed or water",Long incubation; chronic weight loss; persistent diarrhoea in cattle; reduced production; fatal wasting,No practical cure; clinically affected animals are culled,Protect newborns from adult manure; clean calving areas; test and manage infected herds; avoid pooled contaminated colostrum,Uncertain; no confirmed major zoonotic role,2,3,2,1,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Eland; Kudu; Impala; Wildebeest,"Buffalo: 61,105 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
64,Peste des petits ruminants,Viral,"Peste des petits ruminants virus, a morbillivirus",Sheep and goats; goats often show more severe disease,Close contact and aerosols from respiratory and faecal secretions; movement of infected animals,High fever; eye and nose discharge; mouth erosions; diarrhoea; pneumonia; high mortality,"No specific antiviral cure; isolation, fluids, nutrition and treatment of secondary infection",Mass vaccination with approved vaccine; surveillance; movement control; quarantine and rapid reporting,No,73,75053,49838,873,17636,"Annex p.59; Section 5.9, pp.27-29","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Gemsbok; Impala; Kudu; Eland; Springbok; Hartebeest; Wildebeest,"Gemsbok: 133,249 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Springbok: 35,688 (2012 countrywide estimate); Hartebeest: 62,569 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
65,Porcine cysticercosis,Parasitic; cestode larval infection,Taenia solium cysticerci,Pigs are intermediate hosts; humans carry the adult tapeworm and can develop cysticercosis,Pigs ingest eggs from human faecal contamination; free-ranging pigs are at greatest risk,Usually no signs in pigs; cysts in meat cause condemnation and human health risk,Veterinary anthelmintic treatment may be used in control programmes where approved; meat disposition follows inspection rules,Latrines and sanitation; confine pigs; prevent access to human faeces; meat inspection; cook pork; identify and treat human tapeworm carriers,Yes,1,2,,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
66,Pullorum disease,Bacterial,Salmonella enterica serovar Pullorum,"Chickens and turkeys, especially young chicks",Vertical transmission through eggs and faecal-oral spread in hatcheries,White diarrhoea; pasted vents; weakness; poor hatch; high chick mortality; adult carriers,Antimicrobials do not reliably eliminate carrier birds; eradication programmes test and remove infected stock,Use certified pullorum-free breeders; hatchery sanitation; test and cull carriers; strong flock biosecurity,No significant zoonotic risk,1,100,70,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
67,Rabies,Viral; fatal encephalitis,Rabies lyssavirus and related lyssaviruses,"All mammals, including humans; dogs are the main regional maintenance host",Bites or saliva contact with broken skin or mucosa,Behaviour change; aggression or paralysis; excessive salivation; difficulty swallowing; death after neurological signs,"No cure after clinical signs; avoid handling, report immediately and follow quarantine or humane euthanasia rules; exposed people require urgent post-exposure care",Mass dog vaccination; vaccinate livestock at risk; control stray populations; avoid wildlife contact; prompt post-exposure prophylaxis for people,Yes,801,1221,800,194,11,"Annex p.59; Section 5.10, pp.29-31","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Jackal; Bat-eared fox; Wild dog; Lion; Spotted Hyaena; Brown Hyaena; Cheetah,Jackal: No 2012 countrywide estimate reported in Table 1.2a; Bat-eared fox: No 2012 countrywide estimate reported in Table 1.2a; Wild dog: No 2012 countrywide estimate reported in Table 1.2a; Lion: No 2012 countrywide estimate reported in Table 1.2a; Spotted Hyaena: No 2012 countrywide estimate reported in Table 1.2a; Brown Hyaena: No 2012 countrywide estimate reported in Table 1.2a; Cheetah: No 2012 countrywide estimate reported in Table 1.2a,"Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
68,Rift Valley fever,Viral; mosquito-borne,"Rift Valley fever virus, a phlebovirus","Sheep, goats, cattle, camels and humans","Mosquitoes; humans can also be infected by blood, tissues, aborted material or aerosols",Abortion storms; very high newborn mortality; fever and liver disease; adult animals may be mild,No specific antiviral cure for livestock; supportive care and official outbreak control,Vaccinate livestock before high-risk periods where approved; mosquito control; PPE for birthing and slaughter; movement controls and surveillance,Yes,134,3810,3390,,,"Annex p.59; Section 5.11, pp.31-33","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Wildebeest; Eland; Kudu; Impala; Gemsbok; Springbok,"Buffalo: 61,105 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Gemsbok: 133,249 (2012 countrywide estimate); Springbok: 35,688 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
69,Salmonellosis,Bacterial,Non-host-adapted and host-adapted Salmonella enterica serovars,"Many livestock, poultry, wildlife and humans","Faecal-oral spread through animals, feed, water, rodents, equipment or contaminated animal products",Diarrhoea; fever; septicaemia; abortion; dehydration; carrier state,Fluids and supportive care; veterinary antimicrobials only for severe or systemic disease based on culture and susceptibility,Hygiene; clean feed and water; rodent control; isolate cases; manage manure; vaccination where appropriate; food safety controls,Yes for many serovars,5,151,99,,,Annex p.59,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. Two separate salmonellosis rows in the annex were consolidated by summing their reported figures.",Ostrich; Crocodile,"Ostrich: 55,916 (2012 countrywide estimate); Crocodile: No 2012 countrywide estimate reported in Table 1.2a","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
